timestamp,cpu_percent,ram_percent,disk_read_delta,disk_write_delta,net_bytes_sent_delta,net_bytes_recv_delta,tcp_established,tcp_syn_sent,tcp_time_wait,top_process_cpu_percent,cpu_concentration_ratio,process_spawn_rate,is_anomaly_label
2026-07-15 20:54:33,26.2,47.8,130048,5459968,24677,32295,354,0,416,854.9,32.6298,0,0
2026-07-15 20:55:33,18.3,47.5,133268480,561991680,20888585,29161967,373,0,461,989.2,54.0546,3,0
2026-07-15 20:56:33,14.0,47.6,145636864,570032128,12138452,17026096,359,0,462,1038.5,74.1786,0,0
2026-07-15 20:57:33,13.0,47.7,146029568,572198912,11918154,16730462,335,0,378,1051.1,80.8538,1,0
2026-07-15 20:58:33,15.7,47.7,127081984,507166720,11843813,16560072,321,1,377,1021.9,65.0892,0,0
2026-07-15 20:59:33,16.2,47.9,132092416,539955200,29538184,42496976,340,1,412,1014.6,62.6296,0,0
2026-07-15 21:00:33,16.8,47.1,322449920,924399104,24462985,34559614,290,1,547,1007.6,59.9762,13,0
2026-07-15 21:01:33,4.9,46.9,2063360,54345728,21018827,30345912,352,0,528,1147.5,234.1837,0,0
2026-07-15 21:02:33,11.5,46.2,683520,35131392,16777223,24517288,280,0,428,1068.8,92.9391,1,0
2026-07-15 21:03:33,22.3,47.6,97161216,224227328,12390730,17531560,326,0,438,939.5,42.13,1,0
2026-07-15 21:04:33,22.5,47.6,146380288,578179072,7544602,10356832,341,0,399,935.5,41.5778,0,0
2026-07-15 21:05:33,22.9,47.7,137415168,529682432,7365924,9949921,334,0,435,931.5,40.6769,3,0
2026-07-15 21:06:33,25.0,47.8,146255360,555643392,8242475,11268089,353,0,437,906.2,36.248,2,0
2026-07-15 21:07:33,18.1,47.7,146536960,569974784,28312408,40893983,371,0,441,991.1,54.7569,2,0
2026-07-15 21:08:33,15.5,48.2,150134272,554258944,32203862,46342414,401,1,469,1023.3,66.0194,1,0
2026-07-15 21:09:33,14.5,47.7,144104448,558936064,32041451,46401358,397,0,453,1034.9,71.3724,0,0
2026-07-15 21:10:33,17.2,48.3,145868288,571105280,60975433,89129874,374,3,511,1003.6,58.3488,3,0
2026-07-15 21:11:33,17.8,48.4,146315264,563847168,50139108,73009126,407,0,490,995.7,55.9382,0,0
2026-07-15 21:12:33,19.6,48.2,146661376,586760192,29369551,42312580,354,1,510,974.6,49.7245,1,0
2026-07-15 21:13:33,16.2,48.5,145684480,557294080,12297304,17005864,411,0,532,1013.4,62.5556,8,0
2026-07-15 21:14:33,15.1,48.6,146403328,560214016,26341033,37770564,459,0,435,1026.3,67.9669,1,0
2026-07-15 21:15:33,14.8,48.9,145904640,567025664,22065717,31575428,441,0,446,1030.0,69.5946,3,0
2026-07-15 21:16:33,12.6,48.5,145904640,555573248,7541648,10263711,400,0,501,1054.5,83.6905,0,0
2026-07-15 21:17:33,11.9,48.4,136826880,529383424,7252250,9977462,370,0,478,1062.8,89.3109,1,0
2026-07-15 21:18:33,13.6,48.1,136952832,533663744,11509597,15742293,388,3,452,1043.7,76.7426,0,0
2026-07-15 21:19:33,12.8,47.9,146003456,559542272,7410391,10119812,389,0,488,1052.4,82.2188,0,0
2026-07-15 21:20:33,12.5,48.3,145742848,555311104,7437114,10126124,366,1,476,1056.3,84.504,3,0
2026-07-15 21:21:33,13.5,48.3,145503744,555819008,7137963,9837016,349,0,439,1044.5,77.3704,0,0
2026-07-15 21:22:33,13.3,48.4,146196480,559951872,7398427,10022787,330,0,432,1048.0,78.797,0,0
2026-07-15 21:23:33,13.1,48.2,132353024,514506752,7225012,9935508,326,1,421,1048.9,80.0687,0,0
2026-07-15 21:24:33,15.4,48.7,145330176,564772864,25226817,36398244,339,0,423,1023.7,66.474,0,0
2026-07-15 21:25:33,13.7,48.7,146076160,560836608,23041362,33179933,332,0,428,1044.0,76.2044,3,0
2026-07-15 21:26:33,13.4,48.5,131795456,504832000,21070946,30126143,345,0,456,1047.5,78.1716,0,0
2026-07-15 21:27:33,13.8,48.4,145308672,558051328,29536878,42933648,313,2,435,1042.6,75.5507,1,0
2026-07-15 21:28:33,14.5,48.4,129366016,500248576,24975485,36180994,313,0,407,1033.8,71.2966,0,0
2026-07-15 21:29:33,15.2,48.7,147746816,561106944,25191372,36369069,313,0,423,1025.3,67.4539,0,0
2026-07-15 21:30:33,16.4,49.3,127628288,505806848,34125232,48946255,266,0,454,1011.1,61.6524,3,0
2026-07-15 21:31:33,14.6,49.2,175126016,566174208,11928572,16320488,309,0,452,1032.6,70.726,1,0
2026-07-15 21:32:33,13.8,49.1,139018752,536436736,11393240,15926538,321,0,413,1042.9,75.5725,1,0
2026-07-15 21:33:33,14.5,49.2,144054272,555798528,11783858,16568045,329,1,425,1033.3,71.2621,0,0
2026-07-15 21:34:33,14.6,49.1,131694080,525336576,18129966,25503932,387,0,453,1033.1,70.7603,0,0
2026-07-15 21:35:33,19.2,50.0,146339328,571244544,43635012,62479384,450,1,448,979.5,51.0156,4,0
2026-07-15 21:36:33,14.7,50.0,146109440,558645248,41900896,61226843,407,3,481,1031.5,70.1701,0,0
2026-07-15 21:37:33,14.0,49.9,146110976,559423488,34867520,50837572,365,0,463,1038.8,74.2,0,0
2026-07-15 21:38:33,14.3,49.7,131595776,505797120,37878924,55242346,374,2,419,1036.6,72.4895,0,0
2026-07-15 21:39:33,19.6,50.3,162936320,544006144,37211384,54030116,377,0,408,973.4,49.6633,2,0
2026-07-15 21:40:33,20.2,50.2,146680832,579907584,28387317,41026206,410,1,374,967.9,47.9158,3,0
2026-07-15 21:41:33,18.6,50.0,144559104,559345664,26654138,38278338,393,1,412,985.8,53.0,0,0
2026-07-15 21:42:33,19.6,46.7,142493184,551673856,112961797,165535651,401,1,452,974.3,49.7092,0,0
2026-07-15 21:43:33,17.4,46.9,145680896,562495488,84072242,123203744,372,2,439,999.9,57.4655,0,0
2026-07-15 21:44:33,23.1,46.9,140733952,540864512,42427887,61722941,406,1,442,932.4,40.3636,0,0
2026-07-15 21:45:33,15.3,47.1,145824768,561471488,35310697,51297471,386,0,460,1024.5,66.9608,3,0
2026-07-15 21:46:33,19.3,47.2,136596480,526680064,50860287,74024889,446,1,469,977.5,50.6477,1,0
2026-07-15 21:47:33,19.8,47.3,127395328,497184768,32170450,46834920,387,2,477,971.5,49.0657,1,0
2026-07-15 21:48:33,21.0,47.4,145479680,557473792,40446903,58357607,410,1,464,958.0,45.619,0,0
2026-07-15 21:49:33,18.4,47.1,145479168,558612480,25801934,37296739,387,1,456,988.6,53.7283,0,0
2026-07-15 21:50:33,14.5,47.4,145827328,564473856,17279055,24531955,423,2,458,1034.6,71.3517,3,0
2026-07-15 21:51:33,12.0,46.6,145186304,565104640,7121582,9805976,379,0,456,1061.4,88.45,0,0
2026-07-15 21:52:33,12.0,46.7,133362688,516251648,7188999,9865509,378,2,404,1062.5,88.5417,0,0
2026-07-15 21:53:33,15.2,47.1,142331904,555667456,10601055,14756656,365,0,408,1024.3,67.3882,1,0
2026-07-15 21:54:33,18.0,47.7,146402304,596107264,91321959,133625279,419,2,414,992.6,55.1444,0,0
2026-07-15 21:55:33,17.8,47.8,146179584,573861888,40392291,58685431,414,0,432,994.7,55.882,3,0
2026-07-15 21:56:33,20.7,49.3,141026304,594837504,86583345,124433553,494,2,449,962.7,46.5072,2,0
2026-07-15 21:57:33,17.9,49.1,133831168,512995328,63370943,92162435,486,1,446,995.4,55.6089,0,0
2026-07-15 21:58:33,15.0,48.8,140098048,527745024,35423087,51717481,459,1,431,1029.9,68.66,0,0
2026-07-15 21:59:33,14.4,48.9,132173824,498671616,28265549,40941024,415,0,453,1037.2,72.0278,0,0
2026-07-15 22:00:33,14.6,49.2,139756032,521695232,32234616,46843447,322,1,488,1034.5,70.8562,3,0
2026-07-15 22:01:33,15.9,49.3,140221440,531366400,31006989,45007326,317,1,506,1019.4,64.1132,3,0
2026-07-15 22:02:33,16.1,49.3,139838976,527908864,33541390,48899637,338,2,463,1017.1,63.1739,0,0
2026-07-15 22:03:33,14.8,49.2,140106752,526989312,21359041,30815041,329,4,395,1031.2,69.6757,1,0
2026-07-15 22:04:33,15.3,49.4,140377088,541339648,37070035,54066053,381,4,382,1026.6,67.098,0,0
2026-07-15 22:05:33,14.6,49.6,138332160,521900032,22027964,31631080,361,0,412,1035.1,70.8973,3,0
2026-07-15 22:06:33,14.3,49.3,137579520,515764224,34937832,50953207,373,1,418,1037.5,72.5524,0,0
2026-07-15 22:07:33,15.2,49.5,142630912,541917184,36917140,53801854,336,0,426,1027.0,67.5658,0,0
2026-07-15 22:08:33,14.9,49.5,123795968,470704128,23080153,33301854,357,1,437,1031.8,69.2483,0,0
2026-07-15 22:09:33,14.8,49.7,140315136,526909440,46487230,67942735,341,0,429,1031.1,69.6689,4,0
2026-07-15 22:10:33,15.8,49.9,137481728,522739712,39390988,57357048,399,2,376,1019.7,64.538,3,0
2026-07-15 22:11:33,15.1,49.8,143591936,544649216,46061636,67370864,350,0,357,1029.0,68.1457,0,0
2026-07-15 22:12:33,16.2,49.9,143765504,584257536,7303766,10028994,355,1,361,1013.5,62.5617,1,0
2026-07-15 22:13:33,13.7,50.4,143093248,572559360,7418060,10131625,345,0,405,1042.6,76.1022,1,0
2026-07-15 22:14:33,13.5,50.6,139682304,558678016,28786440,41712523,360,1,447,1046.8,77.5407,0,0
2026-07-15 22:15:33,14.3,50.7,140208640,557182976,39766476,58245443,320,0,417,1038.8,72.6434,3,0
2026-07-15 22:16:33,15.2,50.8,136205312,545550336,32308538,46958889,333,1,444,1026.9,67.5592,0,0
2026-07-15 22:17:33,14.3,48.7,144455680,586829824,30234674,43976441,295,1,450,1039.1,72.6643,0,0
2026-07-15 22:18:33,13.8,48.8,144253440,577761280,36758072,53583174,316,2,387,1044.2,75.6667,0,0
2026-07-15 22:19:33,14.6,48.9,143748096,582590464,35707317,52148221,342,1,372,1034.9,70.8836,0,0
2026-07-15 22:20:33,15.5,49.3,139080704,575094784,30283447,46697323,297,1,363,1024.0,66.0645,5,0
2026-07-15 22:21:33,14.0,49.1,135840768,545134592,36586325,50630206,298,0,352,1042.5,74.4643,0,0
2026-07-15 22:22:33,14.2,49.2,140299264,558690304,15157574,21586450,285,1,386,1039.4,73.1972,0,0
2026-07-15 22:23:33,15.9,49.7,138527744,564002816,38598671,55983748,311,0,416,1016.7,63.9434,0,0
2026-07-15 22:24:33,15.2,49.6,139776512,559812608,83043531,121980339,338,5,400,1029.6,67.7368,0,0
2026-07-15 22:25:33,14.9,50.1,140410880,562458624,71603796,105005503,357,0,395,1032.2,69.2752,3,0
2026-07-15 22:26:33,13.8,49.4,140204032,561266688,36046029,52595632,357,1,401,1044.7,75.7029,0,0
2026-07-15 22:27:33,15.3,49.6,140397056,565186560,50517747,73974924,321,1,407,1027.4,67.1503,4,0
2026-07-15 22:28:33,14.9,49.6,140008448,562128896,38533793,56144096,314,2,413,1031.2,69.2081,0,0
2026-07-15 22:29:33,15.8,49.7,138485248,563195904,50206115,73225048,315,0,406,1022.8,64.7342,2,0
2026-07-15 22:30:33,14.5,49.7,137935360,553437184,53725565,79028094,266,2,434,1036.9,71.5103,3,0
2026-07-15 22:31:33,14.9,49.7,140144640,560263680,36767861,53572968,276,1,431,1032.4,69.2886,0,0
2026-07-15 22:32:33,14.3,49.7,140366336,557969408,40709485,59462152,286,1,373,1039.0,72.6573,0,0
2026-07-15 22:33:33,16.0,50.1,139629568,556318720,68734312,100885228,287,2,386,1018.6,63.6625,0,0
2026-07-15 22:34:33,16.3,50.4,140502016,577056768,53030676,77432948,316,2,428,1016.7,62.3742,1,0
2026-07-15 22:35:33,16.2,50.6,140125184,560787456,63399082,93877885,306,0,423,1017.5,62.8086,3,0
2026-07-15 22:36:33,15.7,50.5,139802112,567603200,56563857,82964454,312,2,398,1022.3,65.1146,0,0
2026-07-15 22:37:33,16.1,50.5,140212736,558845952,68901491,101241765,281,0,403,1017.1,63.1739,0,0
2026-07-15 22:38:33,15.8,50.6,139155456,560001024,45945903,67207179,296,1,403,1021.9,64.6772,0,0
2026-07-15 22:39:33,15.6,50.6,136975360,553492480,41047761,59807383,308,0,414,1024.3,65.6603,0,0
2026-07-15 22:40:33,16.0,51.0,141300736,568688640,23513232,33712113,348,1,413,1018.8,63.675,3,0
2026-07-15 22:41:33,20.2,50.7,141834240,581779456,50898834,74129457,397,0,391,968.4,47.9406,0,0
2026-07-15 22:42:33,16.5,50.5,140137472,558940160,39027547,57560932,369,1,400,1012.1,61.3394,1,0
2026-07-15 22:43:33,18.1,50.7,139760640,566042624,67874559,99555102,382,0,398,993.9,54.9116,0,0
2026-07-15 22:44:33,16.4,50.9,139795968,557572096,56595922,82958464,353,1,393,1013.6,61.8049,0,0
2026-07-15 22:45:33,17.3,51.5,139818496,570494976,77009608,113041456,366,0,396,1004.7,58.0751,3,0
2026-07-15 22:46:33,16.6,51.3,140006400,568795136,46550670,68127999,351,3,383,1010.7,60.8855,0,0
2026-07-15 22:47:33,23.2,50.6,242270208,972456960,84243736,123034781,358,0,422,932.4,40.1897,9,0
2026-07-15 22:48:33,16.8,50.5,138515968,557148160,73058190,107270176,362,2,450,1009.5,60.0893,0,0
2026-07-15 22:49:33,17.5,50.4,137931776,554743808,60444742,88690523,324,0,431,1002.5,57.2857,0,0
2026-07-15 22:50:33,16.5,50.6,141888000,559001600,60776206,89199891,332,1,430,1012.8,61.3818,3,0
2026-07-15 22:51:33,16.3,50.5,126576128,516300800,80116870,119252725,336,0,427,1015.1,62.2761,0,0
